station_id,latitude,longitude,elevation,country_code,name,country_name,years
ACW00011604,17.1167,-61.7833,10.1,AC,ST JOHNS COOLIDGE FLD,Antigua and Barbuda,['1949']
ACW00011647,17.1333,-61.7833,19.2,AC,ST JOHNS,Antigua and Barbuda,['1961']
AE000041196,25.333,55.517,34.0,AE,SHARJAH INTER. AIRP,United Arab Emirates,"['1944' '1945' '1955' '1956' '1957' '1958' '1959' '1960' '1961' '1963'
 '1964' '1965' '1966' '1967' '1968' '1977' '1978' '1979' '1980' '1981'
 '1982' '1983' '1984' '1985' '1986' '1987' '1988' '1989' '1990' '1991'
 '1992' '1993' '1994' '1995' '1996' '1997' '1998' '1999' '2000' '2001'
 '2002' '2003' '2004' '2005' '2006' '2007' '2008' '2009' '2010' '2011'
 '2012' '2013' '2014' '2015' '2016' '2017' '2018' '2019' '2020' '2021'
 '2022' '2023']"
AEM00041194,25.255,55.364,10.4,AE,DUBAI INTL,United Arab Emirates,"['1983' '1984' '1985' '1986' '1987' '1988' '1989' '1990' '1991' '1992'
 '1993' '1994' '1995' '1996' '1997' '1998' '1999' '2000' '2001' '2002'
 '2003' '2004' '2005' '2006' '2007' '2008' '2009' '2010' '2011' '2012'
 '2013' '2014' '2015' '2016' '2017' '2018' '2019' '2020' '2021' '2022'
 '2023']"
AEM00041217,24.433,54.651,26.8,AE,ABU DHABI INTL,United Arab Emirates,"['1983' '1984' '1985' '1986' '1987' '1988' '1989' '1990' '1991' '1992'
 '1993' '1994' '1995' '1996' '1997' '1998' '1999' '2000' '2001' '2002'
 '2003' '2004' '2005' '2006' '2007' '2008' '2009' '2010' '2011' '2012'
 '2013' '2014' '2015' '2016' '2017' '2018' '2019' '2020' '2021' '2022'
 '2023']"
AEM00041218,24.262,55.609,264.9,AE,AL AIN INTL,United Arab Emirates,"['1994' '1995' '1996' '1997' '1998' '1999' '2000' '2001' '2002' '2004'
 '2005' '2006' '2007' '2008' '2009' '2010' '2011' '2012' '2013' '2014'
 '2015' '2016' '2017' '2018' '2019' '2020' '2021' '2022' '2023']"
AF000040930,35.317,69.017,3366.0,AF,NORTH-SALANG,Afghanistan,"['1973' '1974' '1975' '1976' '1977' '1978' '1979' '1980' '1981' '1982'
 '1983' '1984' '1985' '1986' '1987' '1988' '1989' '1990' '1991' '1992']"
AFM00040938,34.21,62.228,977.2,AF,HERAT,Afghanistan,"['1973' '1974' '1975' '1976' '1977' '1978' '1979' '1980' '1981' '1982'
 '1983' '1984' '1985' '1986' '1987' '1988' '1989' '1990' '1991' '1992'
 '2018' '2019' '2020']"
AFM00040948,34.566,69.212,1791.3,AF,KABUL INTL,Afghanistan,"['1966' '1967' '1968' '1973' '1974' '1975' '1976' '1977' '1978' '1979'
 '1980' '1981' '1982' '1983' '1984' '1985' '1986' '1987' '1988' '1989'
 '1990' '1991' '1992' '2002' '2003' '2004' '2018' '2019' '2021']"
AFM00040990,31.5,65.85,1010.0,AF,KANDAHAR AIRPORT,Afghanistan,"['1973' '1974' '1975' '1976' '1977' '1978' '1979' '1980' '1981' '1982'
 '1983' '1984' '1985' '1986' '1987' '1988' '1990' '2013' '2014' '2018'
 '2019' '2020']"
AG000060390,36.7167,3.25,24.0,AG,ALGER-DAR EL BEIDA,Algeria,"['1940' '1941' '1942' '1943' '1944' '1945' '1946' '1947' '1948' '1949'
 '1950' '1951' '1952' '1953' '1954' '1955' '1956' '1957' '1958' '1959'
 '1960' '1961' '1962' '1963' '1964' '1965' '1966' '1967' '1968' '1969'
 '1970' '1971' '1972' '1973' '1974' '1975' '1976' '1977' '1978' '1979'
 '1980' '1981' '1982' '1983' '1984' '1985' '1986' '1987' '1988' '1989'
 '1990' '1991' '1992' '1993' '1994' '1995' '1996' '1997' '1998' '1999'
 '2000' '2001' '2002' '2003' '2004' '2005' '2006' '2007' '2008' '2009'
 '2010' '2011' '2012' '2013' '2014' '2015' '2016' '2017' '2018' '2019'
 '2020' '2021' '2022' '2023']"
